mushroomName,edibility,commonName,preferredSearch,season,similarSpecies,description
Amanita brunnescens,no,CLEFT-FOOT DEATHCAP,,"summer, fall","Amanita rubescens, Amanita pantherina","Amanita brunnescens, also known as the brown American star-footed Amanita or cleft-footed amanita is a native North American mushroom of the large genus Amanita. Originally presumed to be Amanita phalloides by renowned American mycologist Charles Horton Peck, it was described and named by George F. Atkinson of Cornell University. He named it after the fact that it bruised brown.
It differs from the death cap by its fragile volva and tendency to bruise brown."
Amanita calyptrata,no*,HOODED GRISETTE,,"spring, fall, winter","Amanita caesaria, Amanita phalloides","Amanita calyptroderma also known as coccora or coccoli, is a white-spored mushroom that fruits naturally in the coastal forests of the western United States during the fall and winter."
Amanita chlorinosma,no,CHLORINE LEPIDELLA,,summer,"Amanita longipes, Amanita tephrea, Amanita pelioma, Amanita daucipes, Amanita polypyramis, Amanita microlepis",Amanita chlorinosma is a species of Amanita from Massachusetts and Illinois south to Florida in Pine and Oak forest.
Amanita cinereoconia,no*,GRAY DUST,,"summer, fall","Amanita onusta, Amanita atkinsoniana",
Amanita citrina,no*,FALSE DEATHCAP,,"summer, fall","Amanita phalloides, Amanita virosa, Amanita verna","Known as the false death cap, or Citron Amanita, Amanita citrina (previously also known as Amanita mappa), is a basidiomycotic mushroom, one of many in the genus Amanita. It grows in silicate soil in the summer and autumn months. It bears a pale yellow or sometimes white cap, with white stem, ring and volva. Though it is not poisonous, its similarity to the lethal death cap (Amanita phalloides) precludes its use in cooking."
Amanita cokeri,no,SOLITARY LEPIDELLA ,,summer,"Amanita solitaria, Amanita rhopalopus","Amanita cokeri, commonly known as Coker's Amanita and Solitary Lepidella, is a mushroom in the Amanitaceae family. The mushroom is poisonous. First described as Lepidella cokeri in 1928, it was transferred to the genus Amanita in 1940."
Amanita daucipes,unknown,TURNIP-BULB LEPIDELLA,,"summer, fall",,"Amanita daucipes is a species of fungus in the Amanitaceae family of the Agaricales order of mushrooms. Found exclusively in North America, the mushroom may be recognized in the field by the medium to large white caps with pale orange tints, and the dense covering of pale orange or reddish-brown powdery conical warts on the cap surface. The mushroom also has a characteristic large bulb at the base of its stem with a blunt short rooting base, whose shape is suggestive of the common names carrot-footed Lepidella, carrot-foot Amanita, or turnip-foot Amanita. The mushroom has a strong odor that has been described variously as ""sweet and nauseous"", or compared to an old ham bone, or soap. Edibility is unknown for the species, but consumption is generally not recommended due its position in the Amanita subgroup Lepidella, which contains some poisonous members."
Amanita farinosa,unknown,MEALY CAP,,"spring, summer, fall",,"Amanita farinosa, commonly known as the Eastern American floury amanita, is a North American poisonous mushroom of the genus Amanita, a genus of fungi including some of the most deadly mushrooms, as well as notably psychoactive mushrooms."
Amanita flavoconia,no,YELLOW WART ,,"summer, fall",Amanita frostiana,"Amanita flavoconia, commonly known as yellow patches, yellow wart, orange Amanita, or yellow-dust Amanita, is a species of mushroom in the family Amanitaceae. It has an orangish-yellow cap with yellowish-orange patches or warts, a yellowish-orange annulus, and a white to orange stem. Common and widespread throughout eastern North America, Amanita flavoconia grows on the ground in broad-leaved and mixed forests, especially in mycorrhizal association with hemlock."
Amanita flavorubescens,no,YELLOW BLUSHER,,,Amanita rubescens,
Amanita gemmata,no,JEWELED DEATHCAP,,,Amanita pantherina,"Amanita gemmata, commonly known as the gemmed Amanita or the jonquil Amanita, is an agaric mushroom of the family Amanitaceae and genus Amanita. The fruit body has a cap that is a dull to golden shade of yellow, and typically 2.5–12 cm (1.0–4.7 in) in diameter. The cap surface is sticky when moist, and characterized by white warts, which are easily detached. It is initially convex, and flattens out when mature. The flesh is white and does not change colour when cut. Gills are white and closely spaced. The stem is pale yellow, and measures 4–12 cm (1.6–4.7 in) long by 0.5–1.9 cm (0.2–0.7 in) thick. The partial veil that covers the young fruit body turns into the ring on the stem at maturity. The spore print is white, while the spores are roughly elliptical, and measure 8–10 by 6.5–7.5 µm.
This species is a mycorrhizal fungus, widespread in the Americas and Europe. It can grow either singly, scattered, or in groups. It prefers habitats like coniferous and mixed forests and alongside paths, where it fruits in summer and fall. It is a toxic mushroom that has muscarine, the same toxin as Amanita muscaria and Amanita pantherina as well as many species in the Clitocybe and Inocybe genera. It is often confused with various other European species. A. gemmata resembles the false death cap, tawny grisette and panther cap mushrooms. Its cap is brighter in color than the former, and more yellow than the latter two."
Amanita inaurata,no*,GILDED GRISETTE,,,Amanita umbrinolutea,
Amanita onusta,no,LOADED LEPIDELLA,,"summer, fall","Amanita nitida, Amanita atkinsoniana","Amanita onusta, commonly known as the loaded Lepidella or the gunpowder Lepidella, is a species of fungus in the Amanitaceae family of mushrooms. It is characterized by its small to medium-sized fruit bodies that have white to pale gray caps crowded with roughly conical, pyramidal, or irregular gray warts. The stipe is whitish-gray with woolly or wart-like veil remnants, and at the base is a spindle- or turnip-shaped base that is rooted somewhat deeply in the soil. The species is distributed in eastern North America, from Nova Scotia to Mexico, and may be found growing on the ground in deciduous forests, particularly those with oak, hickory and chestnut. Fruit bodies smell somewhat like bleaching powder, and their edibility is unknown, but possibly toxic."
Amanita pantherina,no,PANTHERCAP,,"spring, fall","Amanita franchetii, Amanita rubescens","Amanita pantherina, also known as the panther cap and false blusher due to its similarity to the true blusher (Amanita rubescens), is a species of fungus found in Europe and Western Asia."
Amanita parcivolvata,no,FLIMSY VEIL,,"spring, summer","Amanita muscaria, Amanita flavoconia, Amanita flavorubescens","Amanita parcivolvata is a fungus that produces fruit bodies that vaguely resemble those of Amanita muscaria. It is differentiated, however, by its lack of an annulus, by the volval deposits on its stipe/base, and by its pileal striations. It occasionally lacks a stipe bulb entirely, instead just tapering to a point in the ground with powdery volval deposits on its surface. It ranges from 3–12 cm (1.2–4.7 in) in length and is occasional to common in the Southeastern United States, occurring primarily in Quercus forests though it has been observed in forests with a mix of conifers and oaks."
Amanita peckiana,no*,GLUE CAP,,,Amanita fulva,
Amanita pelioma,no,OLIVE LEPIDELLA,,summer,,
Amanita polypyramis,no,MANY WARTS,,fall,Amanita chlorinosma,
Amanita porphyria,no,PORPHYRY DEATHCAP,,"summer, fall","Amanita citrina, Amanita brunnescens","Amanita porphyria, also known as the grey veiled amanita, is a fairly common, inedible basidiomycete mushroom of the genus Amanita found in Europe and North America."
Amanita ravenelii,no*,PINECONE LEPIDELLA,,"summer, fall",,"Amanita ravenelii, commonly known as the pinecone Lepidella, is a species of fungus in the family Amanitaceae. The fruit bodies are medium to large, with caps up to 17 cm (6.7 in) wide, and a stem up to 25 cm (9.8 in) long and 3 cm (1.2 in) thick. The warts on the whitish cap surface are large—up to 6 mm (0.24 in) wide and 4 mm (0.16 in) high. The stem has a large bulb at its base, covered with whitish to brownish scales, that may root several centimeters into the soil. The ring on the stem is thick and cotton- or felt-like. It is widely distributed in mixed and deciduous forests of the southeastern United States, where it grows solitarily or in groups on the ground in late summer and autumn. The mushrooms have a unique odor resembling bleaching powder."
Amanita rhopalopus,no*,CLUB FOOT,,"summer, fall",Amanita smithiana,Amanita rhopalopus is a species of Amanita from North America.
Amanita silvicola,unknown,WOODLAND LEPIDELLA,,fall,"Agaricus campestris, Leucoagaricus naucina",
Amanita vaginata,no*,GRISETTE,,"summer, fall","Amanita inaurata, Amanita fulva","Amanita vaginata, commonly known as the grisette, is an edible mushroom in the Amanitaceae family of fungi. Unlike many other Amanita mushrooms, A. vaginata lacks a ring on the stem. The cap is gray or brownish, 5 to 10 centimetres (2.0 to 3.9 in) in diameter, and has furrows around the edge that duplicate the gill pattern underneath. It has a widespread distribution in North America, and is thought to be part of a species complex that includes other similar-looking Amanitas."
Amanita verna,no,FOOL'S MUSHROOM,,"spring, summer, fall","Amanita virosa, Amanita citrina, Russula virescens, Amanita bisporigera, Amanita tenuifolia, Macrolepiota procera","Amanita verna, commonly known as the fool's mushroom, destroying angel or the mushroom fool, is a deadly poisonous basidiomycete fungus, one of many in the genus Amanita. Occurring in Europe in spring, A. verna associates with various deciduous and coniferous trees. The caps, stipes and gills are all white in colour."
Chlorophyllum molybdites,no,GREEN GILL,,"spring, summer, fall",Leucocoprinus rachodes,"Chlorophyllum molybdites, which has the common names of false parasol, green-spored parasol and vomiter, is a widespread mushroom. Highly poisonous and producing severe gastrointestinal symptoms of vomiting and diarrhea, it is commonly confused with the shaggy parasol or shaggy mane, and is the most commonly consumed poisonous mushroom in North America. Its large imposing appearance and similarity to the edible parasol mushroom, as well as its habit of growing in areas near human habitation, are reasons cited for this. The nature of the poisoning is predominantly gastrointestinal."
